nombre;codigo_local;provincia;distrito;centro_poblado;direccion;tipo_gestion
122 CORAZON DE JESUS;001957;Chiclayo;Lagunas;PUEBLO NUEVO DE LAGUNAS;CALLE LAGUNAS S/N;Pública
11561;001976;Chiclayo;Pomalca;EL COMBO;ALAMEDA PLAZUELA S/N;Pública
SONRISITAS SCHOOL;008082;Chiclayo;Monsefú;MONSEFU;CALLE DIEGO FERRE 685;Privada
DIVINO JESUS;008553;Chiclayo;Cayaltí;CAYALTI;CALLE BOLOGNESI S/N;Privada
PERUANO CHINO DIEZ DE OCTUBRE;023006;Chiclayo;Pimentel;LA GARITA;CARRETERA PIMENTEL KM 7;Privada
LIDER STAR;024058;Chiclayo;Chiclayo;CHICLAYO;CALLE JACARANDAS 401;Privada
CARL ROGERS;051909;Chiclayo;Chiclayo;CHICLAYO;CALLE LETICIA 613;Privada
CORAZONCITOS DE JESUS;052292;Chiclayo;Chiclayo;CAMPODONICO;NICOLAS DE AYLLON 320;Privada
CUBANO PERUANO;052881;Chiclayo;Chiclayo;CHICLAYO;CALLE ALFONSO UGARTE 1487;Privada
KINDER MAGISTER KIDS;055851;Chiclayo;Cayaltí;CAYALTI;JIRON PROGRESO 05;Privada
COLEGIOS Y ACADEMIAS MONTESSORI EIR;055889;Chiclayo;La Victoria;LA VICTORIA;CALLE VIRU 1070;Privada
MI GABY;056011;Chiclayo;Chiclayo;CHICLAYO;CALLE INDEPENDENCIA 219;Privada
MIS PININOS;056105;Chiclayo;Chiclayo;CHICLAYO;CALLE ALFONSO UGARTE 640;Privada
NUESTRA SEÑORA DE FATIMA;056110;Chiclayo;Monsefú;MONSEFU;CALLE FEDERICO CASTRO 366;Privada
G.M.V. COLLEGE;056266;Chiclayo;Chiclayo;CHICLAYO;AVENIDA PROLONGACION BOLOGNESI S/N;Privada
B 2;056327;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE CACIQUE COLLIQUE 394;Privada
